MonthDay,Snow,Year
Mar 28,6.0,1891
Mar 29,11.5,1942
Mar 30,4.8,1964
Mar 31,3.0,1890
Apr 01,5.5,1924
Apr 02,0.5,1887
Apr 03,3.5,1915
Apr 04,0.2,1900
Apr 05,0.5,1898
Apr 06,4.0,1889
Apr 07,0.6,1972
Apr 08,0.5,1916
Apr 09,1.5,1917
Apr 10,0.0,1872
Apr 11,2.0,1894
Apr 12,2.0,1918
Apr 13,0.1,1940
Apr 14,0.3,1923
Apr 15,0.2,1923
Apr 16,0.0,1872
Apr 17,0.0,1872
Apr 18,0.0,1872
Apr 19,0.0,1872
Apr 20,0.0,1872
Apr 21,0.0,1872
Apr 22,0.0,1872
Apr 23,0.0,1872
Apr 24,0.0,1872
Apr 25,0.0,1872
Apr 26,0.0,1872
Apr 27,0.0,1872
Apr 28,0.5,1898
Apr 29,0.0,1872
Apr 30,0.0,1872
May 01,0.0,1872
May 02,0.0,1872
May 03,0.0,1872
May 04,0.0,1872
May 05,0.0,1872
May 06,0.0,1872
May 07,0.0,1872
May 08,0.0,1872
May 09,0.0,1872
May 10,0.0,1872
May 11,0.0,1872
May 12,0.0,1872
May 13,0.0,1872
May 14,0.0,1872
May 15,0.0,1872
May 16,0.0,1872
May 17,0.0,1872
May 18,0.0,1872
May 19,0.0,1872
May 20,0.0,1872
May 21,0.0,1872
May 22,0.0,1872
May 23,0.0,1872
May 24,0.0,1872
May 25,0.0,1872
May 26,0.0,1872
May 27,0.0,1872
May 28,0.0,1872
May 29,0.0,1872
May 30,0.0,1872
May 31,0.0,1872
Jun 01,0.0,1872
Jun 02,0.0,1872
Jun 03,0.0,1872
Jun 04,0.0,1872
Jun 05,0.0,1872
Jun 06,0.0,1872
Jun 07,0.0,1872
Jun 08,0.0,1872
Jun 09,0.0,1872
Jun 10,0.0,1872
Jun 11,0.0,1872
Jun 12,0.0,1872
Jun 13,0.0,1872
Jun 14,0.0,1872
Jun 15,0.0,1872
Jun 16,0.0,1872
Jun 17,0.0,1872
Jun 18,0.0,1872
Jun 19,0.0,1872
Jun 20,0.0,1872
Jun 21,0.0,1872
Jun 22,0.0,1872
Jun 23,0.0,1872
Jun 24,0.0,1872
Jun 25,0.0,1872
Jun 26,0.0,1872
Jun 27,0.0,1872
Jun 28,0.0,1872
Jun 29,0.0,1872
Jun 30,0.0,1872
Jul 01,0.0,1872
Jul 02,0.0,1872
Jul 03,0.0,1872
Jul 04,0.0,1872
Jul 05,0.0,1872
Jul 06,0.0,1872
Jul 07,0.0,1872
Jul 08,0.0,1872
Jul 09,0.0,1872
Jul 10,0.0,1872
Jul 11,0.0,1872
Jul 12,0.0,1872
Jul 13,0.0,1872
Jul 14,0.0,1872
Jul 15,0.0,1872
Jul 16,0.0,1872
Jul 17,0.0,1872
Jul 18,0.0,1872
Jul 19,0.0,1872
Jul 20,0.0,1872
Jul 21,0.0,1872
Jul 22,0.0,1872
Jul 23,0.0,1872
Jul 24,0.0,1872
Jul 25,0.0,1872
Jul 26,0.0,1872
Jul 27,0.0,1872
Jul 28,0.0,1872
Jul 29,0.0,1872
Jul 30,0.0,1872
Jul 31,0.0,1872
Aug 01,0.0,1872
Aug 02,0.0,1872
Aug 03,0.0,1872
Aug 04,0.0,1872
Aug 05,0.0,1872
Aug 06,0.0,1872
Aug 07,0.0,1872
Aug 08,0.0,1872
Aug 09,0.0,1872
Aug 10,0.0,1872
Aug 11,0.0,1872
Aug 12,0.0,1872
Aug 13,0.0,1872
Aug 14,0.0,1872
Aug 15,0.0,1872
Aug 16,0.0,1872
Aug 17,0.0,1872
Aug 18,0.0,1872
Aug 19,0.0,1872
Aug 20,0.0,1872
Aug 21,0.0,1872
Aug 22,0.0,1872
Aug 23,0.0,1872
Aug 24,0.0,1872
Aug 25,0.0,1872
Aug 26,0.0,1872
Aug 27,0.0,1872
Aug 28,0.0,1872
Aug 29,0.0,1872
Aug 30,0.0,1872
Aug 31,0.0,1872
Sep 01,0.0,1872
Sep 02,0.0,1872
Sep 03,0.0,1872
Sep 04,0.0,1872
Sep 05,0.0,1872
Sep 06,0.0,1872
Sep 07,0.0,1872
Sep 08,0.0,1872
Sep 09,0.0,1872
Sep 10,0.0,1872
Sep 11,0.0,1872
Sep 12,0.0,1872
Sep 13,0.0,1872
Sep 14,0.0,1872
Sep 15,0.0,1872
Sep 16,0.0,1872
Sep 17,0.0,1872
Sep 18,0.0,1872
Sep 19,0.0,1872
Sep 20,0.0,1872
Sep 21,0.0,1872
Sep 22,0.0,1872
Sep 23,0.0,1872
Sep 24,0.0,1872
Sep 25,0.0,1872
Sep 26,0.0,1872
Sep 27,0.0,1872
Sep 28,0.0,1872
Sep 29,0.0,1872
Sep 30,0.0,1872
Oct 01,0.0,1872
Oct 02,0.0,1872
Oct 03,0.0,1872
Oct 04,0.0,1872
Oct 05,0.0,1872
Oct 06,0.0,1872
Oct 07,0.0,1872
Oct 08,0.0,1872
Oct 09,0.0,1872
Oct 10,0.3,1979
Oct 11,0.0,1872
Oct 12,0.0,1872
Oct 13,0.0,1872
Oct 14,0.0,1872
Oct 15,0.0,1872
Oct 16,0.0,1872
Oct 17,0.0,1872
Oct 18,0.0,1872
Oct 19,0.1,1940
Oct 20,1.4,1940
Oct 21,0.0,1872
Oct 22,0.0,1872
Oct 23,0.0,1872
Oct 24,0.0,1872
Oct 25,0.0,1872
Oct 26,0.0,1872
Oct 27,0.0,1872
Oct 28,0.0,1872
Oct 29,0.0,1872
Oct 30,2.0,1925
Oct 31,0.2,1925
Nov 01,0.0,1872
Nov 02,0.0,1872
Nov 03,0.0,1872
Nov 04,4.0,1910
Nov 05,2.5,1891
Nov 06,6.5,1953
Nov 07,0.1,1953
Nov 08,0.0,1872
Nov 09,0.5,1900
Nov 10,0.0,1872
Nov 11,11.5,1987
Nov 12,0.6,1976
Nov 13,4.0,1904
Nov 14,3.5,1908
Nov 15,1.4,2018
Nov 16,0.0,1872
Nov 17,0.0,1872
Nov 18,0.0,1872
Nov 19,2.3,1955
Nov 20,0.5,1961
Nov 21,0.0,1872
Nov 22,1.6,1989
Nov 23,1.9,1989
Nov 24,1.5,1909
Nov 25,6.5,1938
Nov 26,2.2,1898
Nov 27,2.3,1978
Nov 28,3.0,1892
Nov 29,0.9,1952
Nov 30,6.9,1967
Dec 01,0.0,1872
Dec 02,1.8,1952
Dec 03,1.0,1907
Dec 04,11.1,1957
Dec 05,6.1,2002
Dec 06,4.9,1910
Dec 07,1.0,1910
Dec 08,3.6,1989
Dec 09,1.6,2005
Dec 10,7.0,1904
Dec 11,6.8,1960
Dec 12,6.6,1982
Dec 13,6.7,1966
Dec 14,3.6,2003
Dec 15,4.5,1905
Dec 16,6.0,1973
Dec 17,11.5,1932
Dec 18,3.0,1916
Dec 19,15.0,2009
Dec 20,5.0,1892
Dec 21,5.3,1962
Dec 22,8.5,1908
Dec 23,5.6,1963
Dec 24,6.5,1912
Dec 25,5.4,1962
Dec 26,10.0,1890
Dec 27,3.3,1939
Dec 28,2.0,1993
Dec 29,5.0,1935
Dec 30,1.3,1935
Dec 31,4.9,1970
